Date,Open,High,Low,Close,Adj Close,Volume
2018-02-05,39.775002,40.970001,37.560001,39.102501,37.452938,1270616000
2018-02-12,39.625000,43.705002,39.377499,43.107498,41.457317,901347600
2018-02-19,43.012501,43.912498,42.752499,43.875000,42.195450,544825600
2018-02-26,44.087502,45.154999,43.112499,44.052502,42.366150,808513600
2018-03-05,43.802502,45.000000,43.567501,44.994999,43.272575,559410800
2018-03-12,45.072498,45.875000,44.404999,44.505001,42.801327,621670000
2018-03-19,44.330002,44.367500,41.235001,41.235001,39.656506,690682800
2018-03-26,42.017502,43.787498,41.297501,41.945000,40.339325,634123200
2018-04-02,41.660000,43.557499,41.117500,42.095001,40.483582,657635200
2018-04-09,42.470001,43.959999,42.462502,43.682499,42.010307,511486000
2018-04-16,43.757500,44.735001,41.357498,41.430000,39.844036,676952800
2018-04-23,41.707500,41.730000,40.157501,40.580002,39.026573,648833600
2018-04-30,40.532501,46.062500,40.459999,45.957500,44.198227,1011222800
2018-05-07,46.294998,47.592499,45.917500,47.147499,45.342670,593067600
2018-05-14,47.252499,47.382500,46.275002,46.577499,44.967224,396995200
2018-05-21,47.000000,47.412498,46.439999,47.145000,45.515106,377579600
2018-05-28,46.900002,47.564999,46.535000,47.560001,45.915749,368519600
2018-06-04,47.910000,48.549999,47.442501,47.924999,46.268139,467079200
2018-06-11,47.837502,48.220001,47.064999,47.209999,45.577854,560749200
2018-06-18,46.970001,47.305000,45.862499,46.230000,44.631741,502417600
2018-06-25,45.849998,46.820000,45.182499,46.277500,44.677593,486482000
2018-07-02,45.955002,47.107498,45.855000,46.992500,45.367878,263102000
2018-07-09,47.375000,47.959999,46.902500,47.832500,46.178837,340328800
2018-07-16,47.880001,48.162498,47.299999,47.860001,46.205391,351736000
2018-07-23,47.669998,48.990002,47.389999,47.744999,46.094357,377988800
2018-07-30,47.974998,52.185001,47.267502,51.997501,50.199844,896758400
2018-08-06,52.000000,52.445000,51.130001,51.882500,50.088818,486568400
2018-08-13,52.327499,54.487499,51.924999,54.395000,52.698631,557495600
2018-08-20,54.525002,54.794998,53.459999,54.040001,52.354702,451300800
2018-08-27,54.287498,57.217499,54.082500,56.907501,55.132774,650762400
2018-09-03,57.102501,57.417500,55.177502,55.325001,53.599621,530531600
2018-09-10,55.237499,57.087502,54.117500,55.959999,54.214821,792999600
2018-09-17,55.537498,55.737499,53.825001,54.415001,52.718010,874984400
2018-09-24,54.205002,56.610001,54.157501,56.435001,54.675011,517372400
2018-10-01,56.987499,58.367500,55.145000,56.072498,54.323814,570665200
2018-10-08,55.552502,56.817501,53.080002,55.527500,53.795811,768031200
2018-10-15,55.290001,55.747501,53.250000,54.827499,53.117641,594081600
2018-10-22,54.947498,56.057499,53.167500,54.075001,52.388611,742398400
2018-10-29,54.797501,55.590000,51.357498,51.869999,50.252373,1082425200
2018-11-05,51.075001,52.529999,49.542500,51.117500,49.523346,764797600
2018-11-12,49.750000,49.962502,46.482498,48.382500,47.037186,968906000
2018-11-19,47.500000,47.674999,43.025002,43.072498,41.874836,657994800
2018-11-26,43.560001,45.700001,42.564999,44.645000,43.403614,854999600
2018-12-03,46.115002,46.235001,42.075001,42.122501,40.951256,670107200
2018-12-10,41.250000,43.142502,40.832500,41.369999,40.219673,870150800
2018-12-17,41.362499,42.087502,37.407501,37.682499,36.634705,1150777200
2018-12-24,37.037498,39.630001,36.647499,39.057499,37.971478,764640800
2018-12-31,39.632500,39.840000,35.500000,37.064999,36.034378,887850000
2019-01-07,37.174999,38.632500,36.474998,38.072498,37.013863,814824400
2019-01-14,37.712502,39.470001,37.305000,39.205002,38.114872,621168000
2019-01-21,39.102501,39.532501,37.924999,39.439999,38.343342,450006400
2019-01-28,38.947498,42.250000,38.415001,41.630001,40.472450,809187200
2019-02-04,41.852501,43.892502,41.820000,42.602501,41.417904,605593600
2019-02-11,42.762501,43.119999,42.312500,42.605000,41.597977,448918400
2019-02-18,42.427502,43.330002,42.372501,43.242500,42.220413,325000400
2019-02-25,43.540001,43.967499,43.182499,43.742500,42.708588,483522400
2019-03-04,43.922501,44.437500,42.375000,43.227501,42.205765,467119200
2019-03-11,43.872501,46.832500,43.837502,46.529999,45.430206,632534000
2019-03-18,46.450001,49.422501,46.182499,47.762501,46.633575,729373200
2019-03-25,47.877499,48.220001,46.145000,47.487499,46.365078,671354400
2019-04-01,47.910000,49.275002,47.095001,49.250000,48.085918,446161600
2019-04-08,49.105000,50.712502,49.052502,49.717499,48.542362,528026800
2019-04-15,49.645000,51.037498,49.502499,50.965000,49.760384,385342400
2019-04-22,50.707500,52.119999,50.529999,51.075001,49.867783,389981600
2019-04-29,51.099998,53.827499,49.777500,52.937500,51.686256,745822400
2019-05-06,51.072498,52.209999,48.192501,49.294998,48.129848,694654400
2019-05-13,46.927502,48.117500,45.712502,47.250000,46.310844,745662000
2019-05-20,45.880001,47.000000,44.452499,44.742500,43.853188,627880400
2019-05-27,44.730000,45.147499,43.747501,43.767502,42.897568,418765600
2019-06-03,43.900002,47.980000,42.567501,47.537498,46.592640,617392800
2019-06-10,47.952499,49.197498,47.575001,48.185001,47.227257,447372400
2019-06-17,48.224998,50.212502,48.042500,49.695000,48.707249,526635600
2019-06-24,49.634998,50.392502,48.822498,49.480000,48.496521,469474000
2019-07-01,50.792500,51.270000,50.162498,51.057499,50.042667,291262800
2019-07-08,50.202499,51.097500,49.602501,50.825001,49.814793,406402800
2019-07-15,51.022499,51.625000,50.590000,50.647499,49.640816,349566400
2019-07-22,50.912498,52.432499,50.902500,51.935001,50.902733,348612800
2019-07-29,52.115002,55.342499,50.407501,51.005001,49.991215,879082000
2019-08-05,49.497501,50.882500,48.145000,50.247501,49.248764,692845600
2019-08-12,49.904999,53.035000,49.787498,51.625000,50.791134,644382400
2019-08-19,52.654999,53.610001,50.250000,50.660000,49.841721,567620000
2019-08-26,51.465000,52.612499,50.830002,52.185001,51.342094,439958400
2019-09-02,51.607498,53.605000,51.055000,53.314999,52.453835,329948400
2019-09-09,53.709999,56.605000,52.767502,54.687500,53.804169,701467600
2019-09-16,54.432499,55.939999,54.367500,54.432499,53.553288,569162000
2019-09-23,54.737499,55.622501,54.285000,54.705002,53.821384,465780800
2019-09-30,55.224998,57.055000,53.782501,56.752499,55.835815,634486800
2019-10-07,56.567501,59.410000,56.082500,59.052502,58.098663,588705600
2019-10-14,58.724998,59.532501,58.299999,59.102501,58.147861,422709600
2019-10-21,59.380001,61.682499,59.330002,61.645000,60.649292,388122000
2019-10-28,61.855000,63.982498,59.314999,63.955002,62.921978,654221600
2019-11-04,64.332497,65.110001,63.842499,65.035004,63.984535,423960800
2019-11-11,64.574997,66.445000,64.570000,66.440002,65.563095,461333600
2019-11-18,66.449997,67.000000,65.099998,65.445000,64.581223,455825200
2019-11-25,65.677498,67.000000,65.625000,66.812500,65.930672,301081200
2019-12-02,66.817497,67.750000,64.072502,67.677498,66.784248,456599200
2019-12-09,67.500000,68.824997,66.227501,68.787498,67.879601,568117600
2019-12-16,69.250000,70.662498,69.245003,69.860001,68.937950,732720000
2019-12-23,70.132500,73.492500,70.092499,72.449997,71.493759,386438000
2019-12-30,72.364998,75.150002,71.305000,74.357498,73.376083,526723200
2020-01-06,73.447502,78.167503,73.187500,77.582497,76.558517,670091600
2020-01-13,77.910004,79.684998,77.387497,79.682503,78.630814,652055600
2020-01-20,79.297501,80.832497,78.912498,79.577499,78.527191,463685200
2020-01-27,77.514999,81.962502,76.220001,77.377502,76.356224,866734800
2020-02-03,76.074997,81.305000,75.555000,80.007500,78.951523,652341200
2020-02-10,78.544998,81.805000,78.462502,81.237503,80.355545,492263600
2020-02-17,78.839996,81.162498,77.625000,78.262497,77.412834,476635200
2020-02-24,74.315002,76.044998,64.092499,68.339996,67.598053,1398039200
2020-03-02,70.570000,76.000000,69.430000,72.257500,71.473038,1293800800
2020-03-09,65.937500,71.610001,62.000000,69.492500,68.738052,1616839600
2020-03-16,60.487499,64.769997,57.000000,57.310001,56.687809,1620263600
2020-03-23,57.020000,64.669998,53.152500,61.935001,61.262596,1384190000
2020-03-30,62.685001,65.622498,59.224998,60.352501,59.697281,837010800
2020-04-06,62.724998,67.925003,62.345001,66.997498,66.270134,735437600
2020-04-13,67.077499,72.062500,66.457497,70.699997,69.932442,829547200
2020-04-20,69.487503,70.752502,66.357498,70.742500,69.974487,678844800
2020-04-27,70.449997,74.750000,69.550003,72.267502,71.482918,790054000
2020-05-04,72.292503,77.587502,71.580002,77.532501,76.690765,672706400
2020-05-11,77.025002,79.922501,75.052498,76.927498,76.298309,834147600
2020-05-18,78.292503,80.222504,77.580002,79.722504,79.070457,532904800
2020-05-25,80.875000,81.059998,78.272499,79.485001,78.834908,525560400
2020-06-01,79.437500,82.937500,79.302498,82.875000,82.197174,497736000
2020-06-08,82.562500,88.692497,81.830002,84.699997,84.007240,811826800
2020-06-15,83.312500,89.139999,83.144997,87.430000,86.714905,779940400
2020-06-22,87.834999,93.095001,87.787498,88.407501,87.684418,883003200
2020-06-29,88.312500,92.617500,87.820000,91.027496,90.282982,495648000
2020-07-06,92.500000,96.317497,92.467499,95.919998,95.135468,564072000
2020-07-13,97.264999,99.955002,93.877502,96.327499,95.539627,718600800
2020-07-20,96.417503,99.250000,89.144997,92.614998,91.857506,665196000
2020-07-27,93.709999,106.415001,93.247498,106.260002,105.390900,847635600
2020-08-03,108.199997,114.412498,107.892502,111.112503,110.203712,1003474000
2020-08-10,112.599998,116.042503,109.107498,114.907501,114.173157,941551200
2020-08-17,116.062500,124.867500,113.962502,124.370003,123.575188,835695200
2020-08-24,128.697495,128.785004,123.052498,124.807503,124.009895,1063638000
2020-08-31,127.580002,137.979996,110.889999,120.959999,120.186981,1167976600
2020-09-07,113.949997,120.500000,110.000000,112.000000,111.284241,771441800
2020-09-14,114.720001,118.830002,106.089996,106.839996,106.157211,944587000
2020-09-21,104.540001,112.860001,103.099998,112.279999,111.562447,847212600
2020-09-28,115.010002,117.720001,112.220001,113.019997,112.297714,640562200
2020-10-05,113.910004,117.000000,112.250000,116.970001,116.222481,548575100
2020-10-12,120.059998,125.389999,118.150002,119.019997,118.259369,881222300
2020-10-19,119.959999,120.419998,114.279999,115.040001,114.304810,519569600
2020-10-26,114.010002,117.279999,107.720001,108.860001,108.164307,684467100
2020-11-02,109.110001,119.620003,107.320000,118.690002,117.931488,609571800
2020-11-09,120.500000,121.989998,114.129997,119.260002,118.702286,589577900
2020-11-16,118.919998,120.989998,116.809998,117.339996,116.791252,389493400
2020-11-23,117.180000,117.620003,112.589996,116.589996,116.044762,365024000
2020-11-30,116.970001,123.779999,116.809998,122.250000,121.678299,543370600
2020-12-07,122.309998,125.949997,120.150002,122.410004,121.837555,452278700
2020-12-14,122.599998,129.580002,121.540001,126.660004,126.067680,621538100
2020-12-21,125.019997,134.410004,123.449997,131.970001,131.352829,433310200
2020-12-28,133.990005,138.789993,131.720001,132.690002,132.069473,441102200
2021-01-04,133.520004,133.610001,126.379997,132.050003,131.432465,610791200
2021-01-11,129.190002,131.449997,126.860001,127.139999,126.545425,482792700
2021-01-18,127.779999,139.850006,126.940002,139.070007,138.419632,429687100
2021-01-25,143.070007,145.089996,130.210007,131.960007,131.342880,716991000
2021-02-01,133.750000,137.419998,130.929993,136.759995,136.120438,439303000
2021-02-08,136.029999,137.880005,133.690002,135.369995,134.938263,345543100
2021-02-15,135.490005,136.009995,127.410004,129.869995,129.455826,363020300
2021-02-22,128.009995,129.720001,118.389999,121.260002,120.873283,685989200
2021-03-01,123.750000,128.720001,117.570000,121.419998,121.032768,663456700
2021-03-08,120.930000,123.209999,116.209999,121.029999,120.644012,586977300
2021-03-15,121.410004,127.220001,119.680000,119.989998,119.607330,626343500
2021-03-22,120.330002,124.239998,118.919998,121.209999,120.823441,488825800
2021-03-29,121.650002,124.180000,118.860001,123.000000,122.607727,359904000
2021-04-05,123.870003,133.039993,123.070000,133.000000,132.575836,447820500
2021-04-12,132.520004,135.000000,130.630005,134.160004,133.732147,444178800
2021-04-19,133.509995,135.529999,131.300003,134.320007,133.891632,421147600
2021-04-26,134.830002,137.070007,131.070007,131.460007,131.040756,501621500
2021-05-03,132.039993,134.070007,126.699997,130.210007,129.794739,453802300
2021-05-10,129.410004,129.539993,122.250000,127.449997,127.259331,514165600
2021-05-17,126.820000,128.000000,122.860001,125.430000,125.242355,386352000
2021-05-24,126.010002,128.320007,124.550003,124.610001,124.423584,357615000
2021-05-31,125.080002,126.160004,123.129997,125.889999,125.701668,278314500
2021-06-07,126.169998,128.460007,124.830002,127.349998,127.159477,327048100
2021-06-14,127.820000,132.550003,127.070000,130.460007,130.264832,457142800
2021-06-21,130.300003,134.639999,129.210007,133.110001,132.910873,354155800
2021-06-28,133.410004,140.000000,133.350006,139.960007,139.750626,321267200
2021-07-05,140.070007,145.649994,140.070007,145.110001,144.892914,418559700
2021-07-12,146.210007,150.000000,143.630005,146.389999,146.170990,504249300
2021-07-19,143.750000,148.720001,141.669998,148.559998,148.337753,441563700
2021-07-26,148.270004,149.830002,142.539993,145.860001,145.641785,423265400
2021-08-02,146.360001,148.039993,145.179993,146.139999,145.921371,284500000
2021-08-09,146.199997,149.440002,145.300003,149.100006,149.100006,298026700
2021-08-16,148.539993,151.679993,144.500000,148.190002,148.190002,428759400
2021-08-23,148.309998,150.860001,146.830002,148.600006,148.600006,272048200
2021-08-30,149.000000,154.979996,148.610001,154.300003,154.300003,386647700
2021-09-06,154.970001,157.259995,148.699997,148.970001,148.970001,354650600
2021-09-13,150.630005,151.419998,145.759995,146.059998,146.059998,492744700
2021-09-20,143.800003,147.470001,141.270004,146.919998,146.919998,393989600
2021-09-27,145.470001,145.960007,141.279999,141.500000,141.500000,346659200
2021-09-30,143.660004,144.378006,141.300003,141.500000,141.500000,88625397
